id,name,amenity,lat,lon,road_node
435,Bệnh viện Nhân dân Gia Định - cơ sở 2,hospital,10.771938087227008,106.6995179618204,411919362
436,Công trường Mê Linh,,10.775293983043072,106.70633408481008,411918812
437,Đại học Sài Gòn (cơ sở 2),university,10.783270955085294,106.70638877104945,11298108231
438,Công viên Majestic Hotel,,10.772498733752345,106.70596342951522,5247691973
439,Trường Trung Cấp Nghề TT Quản lý Khách Sạn Việt Úc,school,10.784062138647538,106.69893777029498,12797273269
440,Unknown,,10.786701017518268,106.70472681496842,11950422111
441,Unknown,,10.786754764073354,106.70524961420784,11950422111
442,Unknown,parking,10.78713971285626,106.70153453032384,2403047190
443,Trường Tiểu học Hoà Bình,school,10.778919251085831,106.69898793845044,411918767
444,Trường Trung học phổ thông Trưng Vương,school,10.78531756619857,106.70639974479352,8366793315
445,Đại chủng viện thánh Giuse,college,10.784705101368925,106.70505833405348,8366793315
446,Trường Quốc Tế American,school,10.75760905,106.68523394999998,9404261849
447,Trường Trung học cơ sở Nguyễn Du,school,10.772809869978436,106.69396066666928,411926058
448,Bệnh viện Đa khoa Tân Định,hospital,10.790211060771886,106.6896256742255,411926140
449,Bệnh viện Từ Dũ,hospital,10.768822054663048,106.6858807317314,5762711576
450,Trường Tiểu học Kết Đoàn,school,10.768474207949662,106.68850411748669,411922074
451,Trường Đại học Ngân hàng Thành phố Hồ Chí Minh,university,10.770293346503042,106.70405231756456,411926245
452,Nhạc viện Thành phố Hồ Chí Minh,university,10.774378869453036,106.69499965375236,7461707638
453,Unknown,,10.768731847153656,106.7042486025282,411926221
454,Unknown,parking,10.76215438575617,106.68600071118864,411926194
455,Unknown,,10.762388162815675,106.6854539465056,4607349645
456,Trường Tiểu học Đinh Tiên Hoàng,school,10.789397309198243,106.6979724713669,411918916
457,Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,university,10.76564254890028,106.68932450386892,4603243122
458,Trường Tiểu học Trần Hưng Đạo,school,10.76156090836496,106.68912854349342,4605065012
459,Bệnh viện Răng Hàm Mặt Thành phố Hồ Chí Minh,hospital,10.76347980905101,106.6918994844536,9404261889
460,Trường Trung học phổ thông Bùi Thị Xuân,school,10.76906896748122,106.68814552518808,6745111244
461,Trường ĐH Công nghệ,university,10.756654275938642,106.68870670752835,411918897
462,Công viên Bến Bạch Đằng,,10.77252245929323,106.70664020363164,2036083298
463,Công viên Tao Đàn,,10.774646515951172,106.6928925834204,11135547226
464,Unknown,parking,10.78994565,106.70442075,2403044879
465,Unknown,,10.786544782423777,106.7129407477674,5740394717
466,Vườn hoa Tượng đài Bác Hồ,,10.775987606121271,106.70158474241872,10560232676
467,Unknown,,10.792338721433405,106.70287791246928,411918880
468,Unknown,,10.791350674929754,106.7053709352988,4673706004
469,Cửa hàng Xăng dầu Petrolimex Số 01,fuel,10.784143999383817,106.6970603591719,411925935
470,Unknown,parking,10.789598249811489,106.69418031062224,411925967
471,Vinschool Golden River,school,10.786179577159576,106.71155153957774,6573654683
472,Common area Aqua 2,,10.786522464887604,106.71138548312192,6573654683
473,Trường Trung học cơ sở và Trung học phổ thông Trần Đại Nghĩa,school,10.779319464781675,106.70125657681062,411926624
474,Unknown,,10.776057760725957,106.70084444677735,2043347015
475,Công viên Lam Sơn,,10.775965819355704,106.70255329948148,1769277433
476,Unknown,,10.777292767664884,106.7012673521298,411926157
477,Unknown,parking,10.78180162787178,106.70361528610042,411926178
478,Unknown,parking,10.7764069805883,106.69975975317836,411919193
479,Unknown,,10.77584451893279,106.699761122692,411919215
480,Unknown,parking,10.775323112032725,106.69965319438022,411926545
481,Unknown,parking,10.775709684749014,106.69985510481366,411919215
482,Unknown,parking,10.77592480331708,106.69999603939488,411919215
483,Trường Tiểu học Nguyễn Thái Bình,school,10.76857245572736,106.69959669154848,411926577
484,Trường Tiểu học Khai Minh,school,10.77026489386311,106.70005466883426,411926069
485,Unknown,parking,10.776587245619186,106.70275699118328,1985346078
486,Unknown,parking,10.776240704341236,106.70313314432887,1769277475
487,Trường Hoa Ngữ Nhật Tân,college,10.771490172984617,106.70342870588284,411918867
488,Trường Tiểu Học Hoà Bình,school,10.771559516405643,106.70280141173082,411918860
489,Trường Trung học cơ sở Võ Trường Toản,school,10.786162931010496,106.705497225463,11950422111
490,Trường Cán bộ Quản lý giáo dục Thành phố Hồ Chí Minh,college,10.7860018,106.7059845,11950422111
491,Bãi giữ xe 42 Chu Mạnh Trinh,parking,10.783467530163255,106.70329476710802,4605462429
